	SRR1927149	SRR1929485
K01071	1605	461
K01073	94	0
K01077	6910	1017
K01079	4385	207
K01081	2239	635
K01082	51	82
K01085	34	119
K01087	11	97
K01089	4367	575
K01090	724	120
K01091	15817	2339
K01092	3026	352
K01093	14	118
K01095	820	324
K01096	25	153
K01101	28	16
K01104	4592	1088
K01113	433	110
K01118	331	146
K01119	4459	1810
K01120	7	4
K01121	248	26
K01125	625	26
K01126	5471	2552
K01129	6330	1902
K01130	3951	1381
K01132	3	9
K01133	181	55
K01134	660	90
K01136	26	3
K01137	90	23
K01138	5718	1416
K01139	7636	354
K01141	258	153
K01142	3675	1335
K01143	3	54
K01144	4045	1576
K01146	5	82
K01147	8009	349
K01150	3096	108
K01151	3546	458
K01152	16	3
K01153	47278	7712
K01154	24878	3557
K01155	9207	1898
K01156	11155	4342
K01159	4951	950
K01160	271	117
K01161	21	0
K01163	1397	489
K01167	10	0
K01169	9	83
K01170	7	2
K01173	4786	1388
K01174	499	93
K01175	414	130
K01176	33077	3359
K01179	16754	5034
K01181	6165	1501
K01182	2129	442
K01183	1523	592
K01184	1462	342
K01185	5004	2028
K01186	2357	622
K01187	18396	5591
K01188	20	0
K01190	51184	15967
K01191	2555	1190
K01192	4536	832
K01193	1513	554
K01194	47	292
K01195	986	520
K01196	5	12
K01197	4350	287
K01198	3600	1282
K01200	32979	1559
K01201	1205	600
K01205	3906	768
K01206	8974	2205
K01207	5283	1329
K01208	4106	496
K01209	15064	4442
K01210	52	3
K01213	1373	243
K01214	12640	611
K01215	200	151
K01216	1332	251
K01218	5030	1004
K01219	296	89
K01220	151	38
K01222	641	165
K01223	719	941
K01224	4362	1652
K01226	560	579
K01227	678	200
K01228	53	2
K01232	188	456
K01233	28	0
K01235	1842	763
K01236	4714	26
K01239	359	83
K01241	152	152
K01243	4084	751
K01244	161	0
K01246	1035	527
K01247	1569	136
K01250	9	81
K01251	1812	505
K01252	9	66
K01255	7191	1194
K01256	6298	316
K01258	7016	2236
K01259	1140	402
K01261	194	53
K01262	16791	3498
K01265	8554	1643
K01266	621	167
K01267	3443	1133
K01269	614	177
K01270	11452	2676
K01271	1390	381
K01273	4476	1249
K01277	4774	1317
K01278	15231	3505
K01283	161	14
K01284	9276	3053
K01286	1199	802
K01294	89	13
K01295	1141	366
K01297	483	221
K01299	820	68
K01301	18	20
K01302	62	19
K01303	2371	876
K01304	263	18
K01305	757	342
K01308	713	95
K01322	437	108
K01337	22	7
