	SRR1927149	SRR1929485
K00853	563.59	211.573
K00854	559.865	228.341
K00855	1.453	12.702
K00856	119.958	40.273
K00857	387.291	160.916
K00858	686.203	178.565
K00859	735.17	155.402
K00860	22.264	18.672
K00863	15.346	1.459
K00864	364.046	231.604
K00865	395.83	168.265
K00867	247.492	15.81
K00868	504.119	166.18
K00869	5.208	2.42
K00872	284.603	28.132
K00873	951.77	211.618
K00874	610.589	258.763
K00875	0.651	15.015
K00876	1092.116	463.766
K00878	122.587	82.367
K00879	20.482	15.203
K00880	1.91	9.001
K00881	2.832	14.442
K00882	152.853	106.677
K00883	4.855	8.828
K00884	5.517	14.702
K00885	0.7	13.529
K00886	245.204	2.675
K00887	13.025	6.488
K00891	630.964	168.045
K00892	1.375	16.706
K00894	2.704	0
K00895	435.76	184.2
K00897	15.284	1.145
K00899	16.443	5.106
K00901	260.869	23.954
K00903	74.601	10.091
K00906	1.978	15.995
K00907	0.624	2.489
K00912	545.533	109.644
K00917	56.001	17.418
K00919	705.895	153.595
K00925	1121.927	362.731
K00926	135.957	70.445
K00927	1189.7435	374.1185
K00928	984.243	253.8
K00929	351.427	80.453
K00930	682.682	204.558
K00931	688.517	211.229
K00932	1.493	14.376
K00936	33.458	24.287
K00937	736.772	286.252
K00939	815.121	226.392
K00940	318.725	53.532
K00941	642.261	233.54
K00942	974.335	200.293
K00943	568.311	119.327
K00945	1533.671	504.681
K00946	534.753	142.568
K00948	1010.729	237.845
K00949	320.867	97.693
K00950	835.409	171.859
K00951	1843.847	658.276000000001
K00952	0	6.263
K00953	4.038	5.783
K00954	858.89	208.915
K00955	16.223	3.053
K00956	134.483	96.437
K00957	302.127	65.493
K00958	2.694	0.591
K00960	22.324	2.852
K00962	1652.232	673.091
K00963	364.126	96.781
K00965	331.904	88.881
K00966	41.062	12.282
K00967	19.212	18.843
K00968	114.659	16.063
K00969	767.349	214.139
K00970	578.151	170.799
K00971	1118.349	300.631
K00972	66.128	45.6
K00973	1062.021	334.138
K00974	586.735	133.457
K00975	1202.504	216.941
K00978	333.01	38.593
K00979	997.75	97.44
K00980	108.62	35.777
K00981	836.472	192.755
K00982	241.805	14.592
K00983	53.632	3.066
K00984	14.491	0
K00986	2308.252	961.954
K00989	35.154	31.367
K00990	286.736	20.381
K00991	809.395	255.611
K00992	455.661	48.706
K00995	570.141	186.22
K00996	153.871	77.477
K00997	80.461	38.099
K00998	288.625	14.562
K01000	966.843	295.127
K01002	255.608	43.157
K01006	1363.322	590.817
K01007	85.723	26.917
K01008	84.436	38.588
K01011	0.481	6.356
K01012	522.217	114.025
K01023	18.832	2.489
K01026	17.743	29.355
K01028	41.51	12.764
K01034	31.461	16.801
K01035	43.575	21.85
K01039	20.039	13.043
K01040	15.515	7.165
K01042	8.482	7.222
K01046	112.299	42.088
K01048	551.441	100.08
K01051	587.722	174.472
K01054	48.477	8.284
K01055	19.864	2.055
K01056	676.115	204.181
K01058	11.939	21.272
K01060	115.074	43.451
K01061	7.589	41.581
K01062	4.838	0.4
K01066	220.75	41.595
K01067	58.625	18.651
K01068	4.136	0
K01069	767.911	255.019
K01070	11.831	19.553
K01071	188.324	72.633
K01073	17.698	0
K01077	592.754	120.89
K01079	400.518	34.157
K01081	273.966	119.883
K01082	10.357	16.357
K01085	4.407	8.072
K01087	1.1	9.74
K01089	414.403	99.631
K01090	86.25	16.729
K01091	1763.953	335.552
K01092	335.308	46.446
K01093	0.933	7.607
K01095	133.782	50.002
K01096	3.706	17.483
K01101	6.357	5.222
K01104	742.131	208.643
K01113	39.775	8.465
K01118	71.693	27.784
K01119	407.675	208.868
K01120	1.864	1.145
K01121	21.914	2.241
K01125	25.957	1.857
