	SRR1927149	SRR1929485
COG0800	2496	902
COG0801	4784	554
COG0802	4211	784
COG0803	5684	1201
COG0804	4174	74
COG0805	2060	984
COG0806	3416	597
COG0807	3618	821
COG0809	11299	2858
COG0810	316	126
COG0811	8299	2257
COG0812	6195	1795
COG0813	1613	407
COG0814	246	1357
COG0815	5935	978
COG0816	3441	812
COG0817	3858	942
COG0818	1398	161
COG0819	100	116
COG0820	8658	2054
COG0821	9051	2122
COG0822	9156	2260
COG0823	4525	434
COG0824	3724	724
COG0825	3432	366
COG0826	21030	5213
COG0827	28091	7787
COG0828	1581	354
COG0829	1796	62
COG0830	1694	37
COG0831	856	18
COG0832	1095	27
COG0833	502	424
COG0834	11453	3775
COG0835	5512	400
COG0836	7676	2103
COG0837	2476	139
COG0838	711	247
COG0839	100	114
COG0840	31740	6616
COG0841	51954	14112
COG0842	16802	3809
COG0843	41	205
COG0845	22089	6373
COG0846	8247	2383
COG0847	13108	1608
COG0848	2221	374
COG0849	6971	2146
COG0850	1965	356
COG0851	115	229
COG0852	1519	511
COG0853	2015	367
COG0854	3091	434
COG0855	9718	2120
COG0857	2414	132
COG0858	3501	886
COG0859	10650	2184
COG0860	12613	3144
COG0861	5218	1089
COG0863	8909	3684
COG0864	21	67
COG1001	2010	894
COG1002	22480	2498
COG1003	2684	676
COG1004	11302	2671
COG1005	2391	713
COG1006	196	54
COG1007	2757	877
COG1008	3400	1230
COG1009	4216	1661
COG1010	593	251
COG1011	10739	2932
COG1012	3804	2410
COG1013	11930	3711
COG1014	12418	3782
COG1015	1777	912
COG1017	8	48
COG1018	80	381
COG1020	2058	1014
COG1021	101	145
COG1022	16310	5725
COG1024	1270	887
COG1025	31	323
COG1026	3219	1035
COG1027	3862	1444
COG1028	8927	2326
COG1030	433	113
COG1032	20478	4910
COG1033	7272	1809
COG1034	1449	618
COG1035	108	15
COG1036	18	2
COG1038	974	475
COG1039	301	109
COG1040	3577	1360
COG1041	31	1
COG1042	855	210
COG1043	6502	1332
COG1044	6877	1274
COG1045	7011	1905
COG1047	4189	822
COG1048	7370	2988
COG1049	8649	322
COG1051	2904	613
COG1052	5136	1480
COG1053	14833	4348
COG1054	22	104
COG1055	7045	2652
COG1056	6	46
COG1057	4714	968
COG1058	3955	470
COG1059	10	9
COG1060	6777	1916
COG1061	22986	5182
COG1062	11	140
COG1063	7850	3164
COG1064	40	278
COG1066	9842	2178
COG1067	5912	641
COG1069	977	354
COG1070	15665	4976
COG1071	782	186
COG1072	2464	240
COG1073	16302	3347
COG1074	22396	4941
COG1075	808	283
COG1076	4925	683
COG1077	9590	2506
COG1078	1785	104
COG1079	4075	706
COG1080	9721	1770
COG1082	4427	1700
COG1083	728	60
COG1085	749	202
COG1086	7952	1939
COG1087	8126	2094
COG1088	8982	1980
COG1089	3369	861
COG1090	2531	98
COG1091	8309	1127
COG1092	12733	2472
COG1093	19	7
COG1097	0	38
COG1098	389	217
COG1101	2032	817
COG1102	283	65
COG1104	12378	2395
COG1105	1509	861
COG1106	10116	1845
COG1108	5126	1217
COG1109	22552	6324
COG1111	8	0
COG1112	14232	4708
COG1113	300	1289
COG1114	723	640
COG1115	16911	4989
COG1116	2799	371
COG1117	4256	1004
COG1118	315	327
COG1119	6280	906
COG1120	6764	1512
COG1121	5004	999
COG1122	10351	2509
COG1123	1255	333
COG1124	165	249
COG1125	123	123
COG1126	8981	2996
COG1127	4715	898
COG1129	7980	3003
COG1131	21900	5722
COG1132	62507	12631
COG1133	24	129
COG1134	1695	639
COG1135	6607	994
COG1136	29673	7768
COG1137	6086	1268
COG1138	32	331
COG1139	2550	994
COG1140	44	212
COG1142	464	498
COG1143	1241	485
COG1144	229	38
COG1145	6308	1668
COG1146	1415	541
COG1148	2225	499
COG1149	100	1
COG1150	444	138
COG1151	6439	1436
COG1152	64	24
COG1154	16448	3811
COG1155	3594	1030
COG1156	3361	810
COG1157	4571	547
COG1158	11051	2128
COG1159	7874	1860
COG1160	13738	3279
COG1161	1434	730
COG1162	6717	1351
COG1164	5911	927
COG1165	7145	1692
COG1166	5815	1750
COG1167	6607	1769
COG1168	8948	2024
COG1169	5411	844
COG1171	8042	1479
COG1172	1134	992
COG1173	8100	1832
COG1174	122	119
COG1175	15826	2973
COG1176	7175	1259
COG1177	5748	1088
COG1178	5670	1357
COG1179	6058	1327
COG1180	6308	1609
COG1181	9069	2392
COG1182	286	146
COG1183	2452	1028
COG1185	20513	5245
COG1186	9932	3044
COG1187	8406	2392
COG1188	2880	547
COG1189	1939	640
COG1190	13418	3396
COG1191	10530	1727
COG1192	16998	4800
COG1193	11251	3510
COG1194	1112	692
COG1195	8529	1610
COG1196	8036	3249
COG1197	24358	5515
COG1198	16362	3562
COG1199	8356	889
COG1200	15133	3832
COG1201	11974	502
COG1202	9	1
COG1203	11530	1089
COG1204	864	101
COG1205	2428	798
COG1206	1317	664
COG1207	6269	994
COG1208	8357	1216
COG1209	7182	1968
COG1210	3580	709
COG1211	6541	1704
COG1212	5380	616
COG1213	904	34
COG1214	4834	1231
COG1215	6216	2273
COG1216	6737	2424
COG1217	15383	3412
COG1218	225	86
COG1219	10781	2630
COG1220	2284	657
COG1221	274	271
COG1222	3	0
COG1225	1381	554
COG1226	2212	529
COG1227	3698	621
COG1228	3165	435
COG1230	163	125
COG1232	3845	771
COG1233	1436	438
COG1234	4144	1275
COG1235	5540	1685
COG1236	3725	811
COG1237	1523	290
COG1238	3324	443
COG1239	267	185
COG1240	137	90
COG1241	39	6
COG1242	5398	954
COG1243	409	190
COG1244	7	4
COG1245	7	1
COG1246	2497	200
COG1247	3135	337
COG1249	6865	1288
COG1250	1678	836
COG1251	39	281
COG1252	4593	832
COG1253	14888	4422
COG1254	172	101
COG1256	8111	858
COG1257	0	4
COG1258	11	4
COG1259	104	38
COG1260	1800	572
COG1261	2086	139
COG1262	18405	5738
COG1263	1716	1801
COG1264	1108	1249
COG1266	1322	588
COG1267	820	324
COG1268	1507	594
COG1269	4672	945
COG1270	3224	374
COG1271	2614	1315
COG1272	2093	774
COG1274	2951	797
COG1275	9	104
COG1276	15	79
COG1277	1028	303
COG1278	1136	338
COG1279	429	116
COG1280	522	530
COG1281	4531	636
COG1282	6221	254
COG1283	13742	4217
COG1284	9771	3173
COG1285	2337	883
COG1286	1296	224
COG1287	22	8
COG1288	2005	818
COG1289	124	1161
COG1290	17	2
COG1291	3127	323
COG1292	1407	923
COG1293	2910	885
COG1294	2107	1035
COG1295	6012	1212
COG1296	2535	921
COG1297	4637	1823
COG1298	8114	893
COG1299	935	613
COG1300	272	128
COG1301	12434	2756
COG1302	1775	587
COG1304	623	398
COG1305	7710	1102
COG1306	1264	341
COG1307	4922	1168
COG1309	9407	2317
COG1310	321	157
COG1311	38	15
COG1312	4257	1433
COG1313	1870	485
COG1314	1788	113
COG1315	1951	552
COG1316	3908	1842
COG1317	3722	291
COG1319	679	287
COG1320	124	62
COG1321	3714	471
COG1322	7897	1830
COG1323	1536	458
COG1324	76	54
COG1325	18	3
COG1327	2888	410
COG1328	20397	5191
COG1329	664	353
COG1330	9468	546
COG1331	19	0
COG1332	189	165
COG1334	1626	85
COG1335	1779	887
COG1336	382	26
COG1337	156	122
COG1338	3206	335
COG1340	15	1
COG1342	910	348
COG1343	671	159
COG1344	26648	3227
COG1345	6650	638
COG1346	3323	828
COG1347	4789	604
COG1348	177	100
COG1349	4366	1751
COG1350	2976	1158
COG1351	3570	746
COG1352	176	51
COG1353	642	386
COG1354	1928	623
COG1355	150	69
COG1357	467	536
COG1358	767	197
COG1359	248	128
COG1360	6284	1052
COG1362	8954	2131
COG1363	1798	710
COG1364	1860	648
COG1366	1113	328
COG1368	15855	4399
