	SRR1927149	SRR1929485
K01495	324522	62421
K01496	10431	3704
K01497	183414	6315
K01499	773	0
K01501	34967	2925
K01505	1067	211
K01507	112552	41703
K01512	11737	6914
K01515	398119	113460
K01518	8885	3160
K01519	714	0
K01520	539383	98967
K01521	1307	6399
K01523	11597	780
K01524	658249	125297
K01525	193028	8347
K01531	5963	36142
K01533	635875	194129
K01534	1251759	308775
K01537	1339778	304163
K01539	301	7879
K01541	43591	30959
K01546	1361	14228
K01547	4566	13620
K01548	969	4490
K01551	1877	0
K01557	78658	23733
K01560	110499	25465
K01563	770	0
K01565	8058	1543
K01567	55104	17419
K01571	291987	86328
K01572	494469	186686
K01573	11653	4453
K01575	14049	8051
K01577	2510	16429
K01579	150813	26820
K01580	2373	24511
K01581	328074	110627
K01582	34291	41239
K01583	3703	0
K01584	3745	22752
K01585	731209	210213
K01586	1018940	160374
K01588	318277	67320
K01589	6482	6610
K01590	65556	11608
K01591	408926	100396
K01595	1799	22127
K01596	250612	67712
K01599	30966	57473
K01601	331	4332
K01607	377570	61215
K01608	1599	16642
K01609	137033	54404
K01610	1273329	264721
K01611	46607	30874
K01613	426625	83672
K01615	125724	66177
K01619	346439	115239
K01620	176260	60517
K01621	40389	16497
K01623	265	6900
K01624	865923	216174
K01625	195337	66587
K01626	367256	67107
K01627	328465	60674
K01628	203012	59889
K01629	130732	39459
K01630	2204	5870
K01631	246	4363
K01633	186076	33131
K01637	1130	12490
K01638	4031	27526
K01639	137111	31866
K01641	32369	16597
K01643	146840	47923
K01644	86326	22541
K01646	30718	9178
K01647	771809	104193
K01649	1028358	175170
K01652	1333484	272119
K01653	324736	61472
K01654	134568	22525
K01657	652124	126626
K01658	239432	36526
K01659	1328	7550
K01661	317344	40812
K01662	1430142	317670
K01664	684	6150
K01665	310968	16803
K01666	65749	13587
K01667	94450	45686
K01669	960	8487
K01671	1158	7465
K01673	83423	25718
K01674	756	0
K01676	710867	144870
K01677	112384	31928
K01678	65387	17678
K01679	101992	29228
K01681	622968	257003
K01682	790276	27383
K01683	1178	0
K01684	4338	9499
K01685	201575	80214
K01686	464290	145931
K01687	1098280	183660
K01689	723896	184083
K01690	2019	11717
K01692	3394	5053
K01693	67058	25796
K01695	343231	68626
K01696	523601	105519
K01698	49243	43465
K01703	793368	126071
K01704	294283	57674
K01706	1237	13067
K01708	24984	12355
K01709	313622	26926
K01710	789909	177015
K01711	272121	71419
K01712	215742	42275
K01713	18349	733
K01714	612522	127144
K01715	70979	27349
K01716	126693	8343
K01719	166351	61778
K01720	7903	9130
K01725	96	4611
K01727	4694	4531
K01728	889675	230455.5
K01729	16425	0
K01731	5613	0
K01733	845656	147105
K01734	73606	28708
K01735	638602	120855
K01736	498034	110093
K01737	150957	29017
K01738	843523	147824
K01739	305778	39035
K01740	1361750	271192
K01741	4324	2604.5
K01744	331165	123837
K01745	245029	50795
K01746	28836	9407
K01749	29332	34000
K01750	96736	8016
K01751	19720	13421
K01752	360509	152799
K01753	28331	21639
K01754	683596	108186
K01755	808561	181873
K01756	947987	209447
K01758	1405	478
K01759	146985	35374
K01760	69393	20168
K01761	29369	6932
K01766	2538	10526
K01768	291243	81519
K01770	293802	52868
K01771	87960	700
K01772	2107	7788
K01775	1000332	240941
K01776	479559	106614
K01777	6699	3067
K01778	501289	96072
K01779	29233	11868
K01781	8343	1036
K01782	2049	14697
K01783	464218	112259
K01784	1215555	275983
K01785	642213	211959
K01787	234887	42381
K01788	9557	6238
K01790	516679	147263
K01791	380715	123589
K01792	3935	6921
K01793	5157	2750
K01796	5486	1003
K01801	55	588
K01802	168920	47173
K01803	765381.5	195755.5
K01804	516956	108240
K01805	90899	29633
K01807	156844	21583
K01808	171369	64979
K01809	433717	120820
K01810	1196227	231149
K01811	1105500	358625
K01812	365702	116346
K01813	227342	71541
K01814	327887	64365
K01815	199398	60579
K01816	5618	6362
K01817	116408	37079
K01818	338650	88413
K01819	23941	6367
K01821	8477	3712
K01823	60104	21424
K01825	2273	17861
K01826	840	4750
K01829	100	901
K01834	82333	47154
K01835	1232456	292572
K01838	319881	69421
K01839	147161	75616
K01840	497218	163939
K01841	188263	20346
K01843	80651	10353
K01844	52008	10470
K01845	179941	84907
K01846	12996	473
K01847	257351	113635
K01848	73538	38288
K01849	10675	8647
K01854	270361	77773
K01858	156520	49470
K01866	876543	217628
K01867	713958	185590
K01868	1472831	364719
K01869	1964365	510752
K01870	2335207	533043
K01872	1927949	447651
K01873	2056772	455574
K01874	1578651	420451
K01875	1000093	234761
K01876	1312016	303423
K01878	348649	33599
K01879	744190	75250
K01880	686570	239803
K01881	1197279	315993
K01883	1146812	275892
K01884	9197	7878
K01885	1145961	263770
K01886	1012282	196586
K01887	1308431	334861
K01889	803663	186897
K01890	1680743	373934
K01892	892222	196976
K01893	1017206	208629
K01894	153570	10183
K01895	462213	153029
K01897	2417314	600532
K01902	239796	27790
K01903	349785	26448
K01904	98	1895
K01905	17137	1332.5
K01906	15485	17027
K01908	585	7840
K01909	2484	189
K01910	103877	43557
K01911	459875	48127
K01912	501795	79668
K01914	478368	99705
K01915	1894916	516020
K01916	32210	20923
K01918	366110	60300
K01919	2445	15896
K01920	283	5732
K01921	755348	180160
K01923	578078	149899
K01924	989003	209857
K01925	962394	206478
K01926	153812	33200
K01928	1010115	254462
K01929	878037	190534
K01932	38760	650
K01933	709551	144920
K01934	294538	49279
K01935	178723	26297
K01937	1227533	263710
K01938	437691	169818
K01939	922558	228144
K01940	1021497	240697
K01941	2477	5432
K01945	806821	161186
K01950	1013267	196281
K01951	1029957	213371
K01952	2460546	485018
K01953	975469	180511
K01955	2533529	598513
K01956	651842	127073
K01958	79358	36308
K01959	1721	695
K01960	413780	133347
K01961	514379	53541
K01962	299349.5	31441.5
K01963	259982.5	29741.5
K01965	19313	8450
K01966	503108	165854
K01968	11787	4074
K01972	1303046	316824
K01974	182	4649
K01975	20940	1995
K01989	254816	113348
K01990	2013688	520224
K01991	467445	142557
K01992	2144255	491802
K01993	558890	119636
K01994	12979	3300
K01995	203599.5	65824
K01996	191304	71491
K01997	276276	84269
K01998	269395.5	94347
K01999	352967	126069
K02000	14305	13117
K02001	16662	10135
K02002	6103	10702
K02003	1596975.5	489472
K02004	3996839.5	1268503
K02005	853341	352782
K02006	17940	4350
K02007	9600	9806
K02008	9813	6726
K02010	255529	47185
K02011	460557	103892
K02012	301407	67267
K02013	609637	130912
K02014	2872004	1148767
K02015	659356	147354
K02016	758722	239692
K02017	14364	19198
K02018	12611	15648
K02019	22032	7059
K02020	28713	22047
K02021	1567	0
K02022	44309	3971
K02024	1883880	40765
K02025	548507	102815
K02026	559093	88930
K02027	671552	141049
K02028	562257	161519
K02029	499341.5	135570
K02030	1207466.5	311145
K02031	369784	65388.5
K02032	332017	65138
K02033	367792	76435
K02034	316414	66837.5
K02035	661959	165663
K02036	348919	78245
K02037	376537.5	68785
K02038	374124.5	79448
K02039	158499	42921
K02040	576431	139485
K02041	21411	6411
K02042	46849	7332
K02043	233	1049
K02044	50541	27885
K02045	13363	15808
K02046	10933	15213
K02047	11385	15865
K02048	15378	27436
K02049	233715	27678
