	SRR1927149	SRR1929485
COG0469	1063448	153028.5
COG0470	540653	99795
COG0471	1389091	430939
COG0472	1133511	308211
COG0473	668242	133793
COG0474	1484921	378743
COG0475	689896.5	231344.5
COG0476	381716	67557
COG0477	1523942	412151.333333333
COG0479	415900	94866
COG0480	4821907	1462566
COG0481	1370901	300067
COG0482	676244	159646
COG0483	234400	26989
COG0484	717014	191805
COG0486	874608	188452
COG0488	3751269	896400
COG0489	1076257.5	328858
COG0490	169.5	84.5
COG0491	541354.5	134435.5
COG0492	681556	136774
COG0493	1666374.91666667	460981.75
COG0494	1366633.5	245520
COG0495	1964365	510752
COG0496	396362	66186
COG0497	943646	244659
COG0498	903939	166997
COG0499	145261	41419
COG0500	2118776.83333333	398227.833333333
COG0501	1435949	139514
COG0502	471858	86170
COG0503	667897	141892
COG0504	1227378	263052
COG0505	651417	126929
COG0506	1568.5	11849.5
COG0507	2449901	650728
COG0508	62253	40697
COG0509	96605	21199
COG0510	60358.5	13324
COG0511	365316.5	79653
COG0512	426431	52485
COG0513	2003732	347104
COG0514	1585725.5	570142
COG0515	2169936	421661.5
COG0516	522704	125116.5
COG0517	886306	162761.333333333
COG0518	512646.5	104904
COG0519	517310.5	108467
COG0520	564020	190985
COG0521	21828	17374.5
COG0522	597364	141493
COG0523	759783	155117
COG0524	1608460	481954
COG0525	2056939	455696
COG0526	1547219	353141
COG0527	1436970	259384.5
COG0528	528631	106607
COG0529	7477	6211.5
COG0530	183809	67991
COG0531	318454	235526
COG0532	1918277	557921
COG0533	661892	142796
COG0534	6221460.5	1531848.5
COG0535	560313	208721
COG0536	768968	185503
COG0537	280024	57846
COG0538	744570	143724
COG0539	1278544	318944
COG0540	584827	117887
COG0541	946848	201099
COG0542	3344580	911478
COG0543	622918	194865
COG0544	1099954	292081
COG0545	1087640.5	236190
COG0546	1089031	191979
COG0547	408212	84273
COG0548	616297.5	113055
COG0549	71109	38204
COG0550	2975679.83333333	835441.833333333
COG0551	618948.833333333	117943.333333333
COG0552	779305	134393
COG0553	1685913	351330
COG0554	241628	139004
COG0555	10933	15213
COG0556	1307404	302427
COG0557	1774859	282486
COG0558	356918	90389
COG0559	697137	92037
COG0560	642566	70302
COG0561	827265	295970
COG0562	252256	70667
COG0563	474451	110188
COG0564	2162016	478433.5
COG0565	190868	24932
COG0566	883471	220544
COG0567	4211	22732
COG0568	1863316	426841
COG0569	1057842	238898
COG0571	569618	111015
COG0572	546323.5	173660
COG0573	376935.5	69073
COG0574	1510728	552782.5
COG0575	627736	120991
COG0576	514953	128762
COG0577	1656625.5	498169
COG0578	85644	56284
COG0579	193474	68464
COG0580	59572	36844
COG0581	374124.5	79448
COG0582	3499139.5	932232.5
COG0583	1129163	319224.5
COG0584	483656.5	205597.5
COG0585	11884	6908
COG0586	306504	60193
COG0587	3288688.5	579811
COG0588	57025	37092
COG0589	497678	94622
COG0590	385560	89904
COG0591	1347613.5	275699.5
COG0592	922579	179972
COG0593	1468576	258685
COG0594	176911	30439
COG0595	328585	150596
COG0596	702234	105943
COG0597	284050	47013
COG0598	696754	142508
COG0599	187465.5	26501
COG0600	249072	28355
COG0601	685940	155031
COG0602	455508	93644
COG0603	269786	68902
COG0604	158695	19618
COG0605	140143	11835
COG0606	494000	203241
COG0607	504052.5	47054.1666666667
COG0608	1288807.5	229259
COG0609	657429	144579
COG0610	3123256.5	401672.5
COG0611	480157	79935
COG0612	1772644	593575
COG0613	334228	79470
COG0614	453119.5	119412
COG0615	261853.5	58476
COG0616	1195868	159981
COG0617	1140144	214673
COG0618	823110	163669.5
COG0619	299001	80053
COG0620	748262	109451
COG0621	2259632	559910
COG0622	348243	56615
COG0623	164231	66416
COG0624	1448224	297382
COG0625	8674	48418
COG0626	405100	76435
COG0627	95813	43834
COG0628	1042663	238596
COG0629	712865	161634
COG0630	8964	7971
COG0631	487393	89338
COG0632	384565	92763
COG0633	963.5	9750
COG0634	247568	82132
COG0635	904520	264142
COG0636	171974	39602
COG0637	560063	148073.5
COG0639	344454.333333333	40215.3333333333
COG0640	325954	48422.5
COG0641	742590	267464
COG0642	2642320.83333333	961645.666666667
COG0643	842293	107660.5
COG0644	12568	35854
COG0645	290	0
COG0646	832703.5	135940
COG0647	159474.5	40917
COG0648	292554	34210
COG0649	133993.5	47598
COG0650	21721	26921
COG0651	164866	116474
COG0652	553521.5	134788
COG0653	2211990	591185
COG0654	3423	34261
COG0655	327401	84073
COG0656	725854	162876
COG0657	739939	180660
COG0658	418328	160999.5
COG0659	805371	112610
COG0661	40481	53733
COG0662	54185.6666666667	29272.1666666667
COG0663	91171	37442
COG0664	734437	164145
COG0665	78090.5	21601
COG0666	268200	121659.666666667
COG0667	366132	111329
COG0668	971238	285868
COG0669	357049	73548.5
COG0670	179568	87810
COG0671	152280	67610
COG0672	2718	8372
COG0673	1022038.5	295962
COG0674	1056649.33333333	348515.333333334
COG0675	5958196	370286
COG0676	3935	6921
COG0677	169334	74958
COG0679	363750	104511
COG0680	783	12394
COG0681	909255	256307.5
COG0682	636893	128130
COG0683	705979	132405
COG0684	4297	5175
COG0685	477619	92555.5
COG0686	112515	69513
COG0687	884407.5	137856
COG0688	428088	84532
COG0689	14161.5	21193.5
COG0690	136610	8611
COG0691	311148	76670
COG0692	361368	69804
COG0693	317999	67096
COG0694	98638.5	9685
COG0695	1399	6772
COG0696	1219204	248398
COG0697	1675362	359738
COG0698	195642	72080
COG0699	118807	55840
COG0700	226388	43883.5
COG0701	24718	19054
COG0702	4982	23184
COG0703	333795	89437
COG0704	158742	42900
COG0705	534131	86303
COG0706	1391312	283821
COG0707	765704.5	170117
COG0708	287549	104399
COG0709	50251	19837
COG0710	69739.5	39733
COG0711	292261	59584
COG0712	339096	69448
COG0713	50557	18336
COG0714	1460429	247096
COG0715	430532	58149
COG0716	514547	156595
COG0717	125234	14548
COG0718	156602	40875
COG0719	826027	303338
COG0720	149398	28002
COG0721	41599	21094
COG0722	364572	65234
COG0723	809.5	275.5
COG0724	236297	3335
COG0725	63895	24745
COG0726	640577.5	221403.5
COG0727	41541	11573
COG0728	496052	43620
COG0729	365075	16209
COG0730	507339	45712
COG0731	156526	53870
COG0732	2006790.5	287216.5
COG0733	1955925	328729
COG0735	372796	85641
COG0736	26679	13872
COG0737	1285532	320655
COG0738	1097103	354560
COG0739	2806869	552730
COG0740	860620	156486
COG0741	1393080	263762
COG0742	390689	77996
COG0743	764945	160387
COG0744	1028221	242296
COG0745	2760267.16666667	861395.333333333
COG0746	1805	7519.5
COG0747	1015293	191595
COG0749	983880.5	251513.5
COG0750	1048017	228035
COG0751	744190	75250
COG0752	348649	33599
COG0753	2329	18031
COG0754	27212	54868
COG0755	340596	96135
COG0756	522849	98600
COG0757	235058	32112
COG0758	384418	135916
COG0759	131011	17233
COG0760	1565705	244981
COG0761	660395.5	157905
