	SRR1927149	SRR1929485
Peptoniphilus	22	0
Unclassified Tissierellia	26	0
Unclassified Firmicutes	524553	155298
Fusobacterium	6517	49
Leptotrichia	15	0
Kiritimatiellae bacterium (no genus in NCBI)	9460	2576
Unclassified Kiritimatiellae	36174	8288
Unclassified Kiritimatiellaeota	1903	504
Lentisphaerae bacterium (no genus in NCBI)	124	38
Lentisphaeraceae bacterium (no genus in NCBI)	23	5
Lentisphaeria bacterium (no genus in NCBI)	2551	7268
Unclassified Lentisphaeria	15893	2296
Unclassified Victivallales	33372	1128
Unclassified Victivallaceae	5	12
Victivallis	218	93
Victivallales bacterium (no genus in NCBI)	2749	200
Unclassified Lentisphaerae	42632	3618
Nitrospira	183	87
Unclassified Planctomycetia	21	4
Unclassified Planctomycetes	99	20
Alphaproteobacteria bacterium (no genus in NCBI)	8568	11790
Candidatus Enterousia	0	28
Shinella	49	33
Sinorhizobium	7892	1319
Unclassified Rhizobiaceae	19	25
Unclassified Hyphomicrobiales	11	10
Unclassified Rhodobacterales	0	42
Acetobacter	6594	520
Acidiphilium	3	125
Unclassified Acetobacteraceae	100	7
Azospirillum	71	36
Rhodospirillaceae bacterium (no genus in NCBI)	9	3
Unclassified Thalassospiraceae	24	0
Unclassified Rhodospirillales	66	40
Rickettsia	9	0
Unclassified Alphaproteobacteria	47005	70656
Pandoraea	152	2
Burkholderiales bacterium (no genus in NCBI)	70	3
Unclassified Comamonadaceae	29	0
Oxalobacter	14	0
Duodenibacillus	118	28
Mesosutterella	56	12
Sutterella	585	179
Unclassified Sutterellaceae	1154	316
Thiomonas	3	11
Unclassified Burkholderiales	2424	293
Unclassified Betaproteobacteria	297	13
Unclassified Desulfobulbaceae	27	4
Desulfovibrio	12	25
Unclassified Desulfovibrionaceae	33	25
Candidatus Fimimonas	21	0
Corallococcus	12	0
Unclassified Myxococcales	23	6
Unclassified Deltaproteobacteria	63	6
Campylobacter	12944	6048
Unclassified Campylobacteraceae	997	452
Helicobacter	581	224
Unclassified Helicobacteraceae	122	44
Unclassified Campylobacterales	1380	626
Unclassified Epsilonproteobacteria	670	270
Aeromonas	2401	17
Aeromonadales bacterium (no genus in NCBI)	0	19
Ruminobacter	41195	786
Succinatimonas	34711	1760
Succinimonas	41	24
Succinivibrio	228004	3564
Succinivibrionaceae bacterium (no genus in NCBI)	650	906
Unclassified Succinivibrionaceae	1349781	37303
Unclassified Aeromonadales	1069870	8368
Pseudoalteromonas	755	302
Shewanella	4	4
Enterobacter	0	13
Escherichia	64888	421877
Klebsiella	2571	3091
Raoultella	5	4
Salmonella enterica (no genus in NCBI)	20	5
Shigella	4	15
Shigella flexneri (no genus in NCBI)	29	58
Unclassified Enterobacteriaceae	3130	14689
