	SRR1927149	SRR1929485
Anaerostipes hadrus	54	1170
Anaerostipes sp.	113	0
Unclassified Anaerostipes	191	3097
Unclassified Anaerotignum	13	17
Blautia faecicola	6	6
Blautia glucerasea	0	8
Blautia hansenii	12	0
Blautia luti	50	35
Blautia massiliensis	47	39
Blautia obeum	92	34
Blautia sp.	127	40
Blautia wexlerae	77	55
Unclassified Blautia	576	236
Butyrivibrio crossotus	25	53
Butyrivibrio hungatei	26	27
Butyrivibrio sp.	0	27
Unclassified Butyrivibrio	3545	106
Unclassified Candidatus Choladousia	12	0
Unclassified Candidatus Egerieimonas	15	1
Unclassified Candidatus Galacturonibacter	93	26
Coprococcus catus	41	100
Coprococcus comes	626	220
Coprococcus eutactus	86	109
Coprococcus sp.	388	36
Unclassified Coprococcus	1286	1588
Unclassified Cuneatibacter	44	11
Dorea formicigenerans	106	63
Dorea longicatena	51	20
Dorea sp.	21	47
Unclassified Dorea	436	48
Candidatus Eisenbergiella pullicola	40	0
Unclassified Eisenbergiella	169	1
Unclassified Enterocloster	67	22
Faecalicatena faecalis	58	0
Faecalicatena orotica	12	4
Faecalimonas umbilicata	33934	436
Unclassified Faecalimonas	15	1
Fusicatenibacter saccharivorans	71	34
Fusicatenibacter sp.	0	42
Unclassified Fusicatenibacter	10	0
Hominisplanchenecus sp.	11	1
Jingyaoa shaoxingensis	59	8
Unclassified Jingyaoa	27	0
Kineothrix sp.	17	0
Unclassified Kineothrix	183	8
Unclassified Lachnoanaerobaculum	27	10
Lachnobacterium sp.	3431	325
Unclassified Lachnobacterium	478	83
Lachnoclostridium sp.	540	126
Unclassified Lachnoclostridium	185	38
Lachnospira eligens	215	316
Lachnospira pectinoschiza	49	87
Lachnospira sp.	17	0
Unclassified Lachnospira	86	70
Lachnospiraceae bacterium	149797	19446
Candidatus Mediterraneibacter surreyensis	9	68
Mediterraneibacter faecis	152	268
Unclassified Mediterraneibacter	83	48
Oribacterium sp.	1341	518
Unclassified Oribacterium	650	293
Pararoseburia lenta	72	2
Unclassified Pseudobutyrivibrio	49	12
Roseburia faecis	489	153
Roseburia hominis	143	137
Roseburia intestinalis	456	1331
Roseburia inulinivorans	509	447
Roseburia porci	8	8
Roseburia sp.	3694	276
Unclassified Roseburia	28735	5637
Sellimonas intestinalis	34	2
Unclassified Sellimonas	18	0
Simiaoa sunii	29	0
Tyzzerella sp.	102	0
Unclassified Tyzzerella	41	10
Unclassified Lachnospiraceae	297385	39150
Variimorphobacter saccharofermentans	0	11
Unclassified Wansuia	33	0
Lawsonibacter sp.	199	33
Unclassified Lawsonibacter	134	64
Acetivibrio ethanolgignens	22	0
Acetivibrio sp.	14	10
Unclassified Acetivibrio	126	2
Agathobaculum butyriciproducens	62	28
Agathobaculum sp.	58	9
Unclassified Agathobaculum	78	30
Anaerotruncus colihominis	22	5
Anaerotruncus sp.	53	175
Unclassified Anaerotruncus	59	3
Angelakisella massiliensis	8	0
Angelakisella sp.	77	40
Unclassified Angelakisella	282	275
Candidatus Faeciplasma gallinarum	105	12
Unclassified Drancourtella	5	1
Dysosmobacter acutus	149	71
Dysosmobacter sp.	1178	355
Unclassified Dysosmobacter	176	65
Faecalibacterium duncaniae	188	164
Faecalibacterium prausnitzii	16611	10765
Faecalibacterium sp.	2665	1224
Unclassified Faecalibacterium	153432	128202
Flavonifractor plautii	193	58
Flavonifractor sp.	72	21
Unclassified Flavonifractor	543	34
Candidatus Fournierella merdavium	12	0
Candidatus Fournierella merdigallinarum	5	15
Fournierella massiliensis	16	0
Unclassified Fournierella	23	0
Unclassified Hydrogenoanaerobacterium	16	9
Massiliimalia massiliensis	35	7
Oscillibacter sp.	5691	2477
Oscillibacter valericigenes	1345	636
Unclassified Oscillibacter	6030	2524
Oscillospiraceae bacterium	76879	50825
Phocea massiliensis	14	2
Pseudoflavonifractor capillosus	61	33
Pseudoflavonifractor phocaeensis	47	2
Pseudoflavonifractor sp.	898	132
Unclassified Pseudoflavonifractor	283	11
Unclassified Pusillibacter	7	0
Ruminiclostridium sp.	6950	198
Unclassified Ruminiclostridium	25498	157
Ruminococcaceae bacterium	1444	476
Ruminococcus bicirculans	13	1
Ruminococcus bovis	80	7
Ruminococcus bromii	36	1
Ruminococcus callidus	79	314
Ruminococcus champanellensis	2082	259
Ruminococcus flavefaciens	58	5
Ruminococcus sp.	13098	2228
Unclassified Ruminococcus	35426	7236
Ruthenibacterium lactatiformans	460	43
Unclassified Ruthenibacterium	37	17
Subdoligranulum sp.	785	144
Subdoligranulum variabile	406	19
Unclassified Subdoligranulum	1557	92
Unclassified Thermoclostridium	0	26
Unclassified Oscillospiraceae	431899	105145
Unclassified Vescimonas	5	14
Vescimonas coprocola	150	37
Vescimonas fastidiosa	199	42
Unclassified Peptococcaceae	55	26
Clostridioides difficile	229	84
Unclassified Clostridioides	350	156
Paeniclostridium sordellii	172	245
Peptostreptococcaceae bacterium	31	3
Romboutsia sp.	28	29
Unclassified Romboutsia	21	0
Unclassified Peptostreptococcaceae	56	31
Pumilibacter sp.	9	0
Unclassified Eubacteriales	1960369	436428
Unclassified Yeguia	178	28
Yeguia hominis	277	108
Unclassified Mahella	27	2
Unclassified Clostridia	270090	112841
Catenibacterium mitsuokai	28	3
Unclassified Catenibacterium	598	42
Coprobacillus sp.	15	0
Kandleria vitulina	22	0
Unclassified Kandleria	60	0
Unclassified Coprobacillaceae	155	7
Unclassified Amedibacillus	41	112
Erysipelotrichaceae bacterium	904	217
Holdemanella biformis	96	218
Holdemanella sp.	5	8
Unclassified Holdemanella	37	506
Holdemania filiformis	154	45
Unclassified Holdemania	13	4
Intestinibaculum porci	14	8
Unclassified Longicatena	8	12
Solobacterium sp.	134	65
Unclassified Solobacterium	15	233
Unclassified Erysipelotrichaceae	747	294
Unclassified Erysipelotrichales	717	171
Unclassified Erysipelotrichia	56	18
Firmicutes bacterium	116024	38882
Acidaminococcaceae bacterium	551	77
Phascolarctobacterium sp.	5575	749
Phascolarctobacterium succinatutens	26852	2343
Unclassified Phascolarctobacterium	306448	44583
Unclassified Acidaminococcaceae	16305	1864
Unclassified Acidaminococcales	1371	142
Negativicutes bacterium	15	2
Anaerovibrio lipolyticus	2002	1697
